歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Soft Cell,6,pop,27.667,74,1989.0,0.554,0.499,0.627,0.397,0.001,0.329,0.038,流行
Vicetone,16,edm,27.625,63,2015.0,0.617,0.798,0.372,0.128,0.103,0.246,0.069,电子舞曲
Ted Nugent,14,rock,27.429,66,1998.0,0.479,0.844,0.562,0.023,0.135,0.15,0.058,摇滚
LL Cool J,12,r&b,27.417,54,1992.5,0.739,0.561,0.582,0.147,0.125,0.236,0.219,R&B
Wreckx-N-Effect,5,r&b,27.4,53,1992.0,0.856,0.827,0.489,0.037,0.005,0.267,0.156,R&B
Fanny Lu,7,latin,27.286,57,2009.0,0.802,0.842,0.881,0.259,0.0,0.135,0.055,拉丁
Guns N' Roses,63,rock,27.206,82,1991.0,0.391,0.868,0.387,0.077,0.124,0.249,0.08,摇滚
Sam Feldt,36,latin,27.194,83,2017.0,0.684,0.697,0.459,0.206,0.0,0.147,0.048,拉丁
Judas Priest,14,rock,27.143,69,2003.0,0.445,0.843,0.553,0.02,0.02,0.181,0.063,摇滚
Mako,8,edm,27.125,50,2016.5,0.571,0.693,0.347,0.151,0.001,0.189,0.06,电子舞曲
StaFFord63,9,rap,27.0,45,2018.0,0.692,0.468,0.512,0.335,0.002,0.186,0.254,说唱
Fickle Friends,7,pop,27.0,52,2018.0,0.672,0.823,0.736,0.064,0.0,0.133,0.044,流行
Kid Cudi,11,rap,27.0,74,2010.0,0.662,0.668,0.655,0.254,0.156,0.188,0.082,说唱
Control Machete,14,rap,27.0,60,1999.0,0.662,0.785,0.48,0.069,0.038,0.43,0.208,说唱
Kenny Lattimore,6,r&b,26.833,51,1997.5,0.714,0.48,0.532,0.392,0.005,0.167,0.068,R&B
Soundgarden,6,rock,26.833,63,1994.0,0.333,0.776,0.386,0.0,0.015,0.24,0.043,摇滚
Lisa Lisa & Cult Jam,5,latin,26.8,51,1985.0,0.723,0.677,0.684,0.052,0.035,0.297,0.066,拉丁
Boyz II Men,21,r&b,26.762,71,2003.0,0.637,0.578,0.512,0.209,0.008,0.158,0.052,R&B
Pebbles,7,r&b,26.714,42,2000.0,0.767,0.746,0.951,0.136,0.052,0.166,0.063,R&B
The Pharcyde,5,r&b,26.6,67,1992.0,0.765,0.792,0.742,0.066,0.001,0.359,0.227,R&B
Aaron Hall,9,r&b,26.556,46,1993.0,0.757,0.73,0.559,0.04,0.0,0.243,0.06,R&B
Duki,25,rap,26.48,79,2018.0,0.758,0.692,0.49,0.298,0.0,0.17,0.109,说唱
Dannic,10,edm,26.4,53,2017.0,0.606,0.925,0.288,0.072,0.212,0.346,0.106,电子舞曲
Kura,6,edm,26.333,59,2018.5,0.668,0.909,0.193,0.003,0.387,0.273,0.076,电子舞曲
Rush,13,rock,26.308,73,1981.0,0.426,0.861,0.585,0.027,0.072,0.216,0.062,摇滚
Yellow Claw,11,edm,26.273,69,2015.0,0.64,0.866,0.395,0.017,0.169,0.208,0.07,电子舞曲
R. Kelly,17,r&b,26.235,70,1993.0,0.715,0.598,0.689,0.176,0.0,0.141,0.079,R&B
Geto Boys,26,rap,26.231,65,1994.5,0.786,0.638,0.569,0.142,0.03,0.23,0.251,说唱
Roc DaGuard,5,r&b,26.2,33,2017.0,0.836,0.707,0.626,0.063,0.0,0.194,0.158,R&B
Thirty Seconds To Mars,8,latin,26.125,71,2008.0,0.389,0.493,0.237,0.44,0.0,0.38,0.061,拉丁
N1NT3ND0,10,rap,26.1,50,2011.0,0.778,0.528,0.529,0.305,0.003,0.172,0.369,说唱
Jodeci,21,r&b,26.0,60,1993.0,0.673,0.637,0.611,0.169,0.002,0.465,0.079,R&B
"Drako ""El Principe""",5,latin,26.0,51,2019.0,0.759,0.609,0.624,0.103,0.001,0.174,0.165,拉丁
Aaliyah,19,r&b,25.947,59,1996.0,0.683,0.592,0.632,0.195,0.011,0.182,0.086,R&B
Tony! Toni! Toné!,17,r&b,25.824,58,1997.0,0.774,0.707,0.739,0.119,0.0,0.215,0.074,R&B
Chester Nebro,5,rap,25.8,36,2018.0,0.613,0.751,0.451,0.34,0.0,0.154,0.103,说唱
Amel Larrieux,5,r&b,25.8,48,2000.0,0.592,0.515,0.509,0.311,0.002,0.17,0.196,R&B
Vikström,6,edm,25.667,36,2019.0,0.618,0.936,0.384,0.003,0.511,0.411,0.063,电子舞曲
Simple Minds,8,rock,25.625,53,1988.5,0.591,0.807,0.619,0.073,0.052,0.163,0.035,摇滚
Demun Jones,7,rap,25.571,51,2018.0,0.61,0.677,0.609,0.229,0.0,0.211,0.1,说唱
Jeezy,15,rap,25.533,68,2005.0,0.566,0.733,0.417,0.035,0.0,0.198,0.207,说唱
Swingrowers,6,edm,25.5,46,2015.5,0.763,0.836,0.825,0.17,0.069,0.38,0.061,电子舞曲
Angel Y Khriz,7,latin,25.429,68,2009.0,0.789,0.893,0.753,0.155,0.002,0.093,0.078,拉丁
Seryoga,5,rap,25.4,51,2008.0,0.66,0.752,0.613,0.194,0.0,0.263,0.248,说唱
Nicky Romero,26,edm,25.385,65,2016.5,0.593,0.847,0.334,0.062,0.178,0.273,0.085,电子舞曲
Scorpions,40,rock,25.325,77,1986.5,0.43,0.715,0.367,0.111,0.121,0.241,0.049,摇滚
Olexesh,18,rap,25.278,52,2015.5,0.707,0.73,0.538,0.237,0.0,0.251,0.377,说唱
Lloyd,5,r&b,25.2,61,2007.0,0.686,0.699,0.589,0.22,0.0,0.112,0.223,R&B
Auxxk,7,rap,25.143,43,2016.0,0.557,0.717,0.178,0.052,0.031,0.217,0.155,说唱
Ja Rule,18,r&b,25.056,72,2001.0,0.714,0.74,0.605,0.122,0.003,0.2,0.241,R&B
JAY-Z,20,rap,24.9,77,2007.0,0.69,0.739,0.638,0.11,0.012,0.204,0.313,说唱
Jenil,8,r&b,24.875,36,2019.0,0.619,0.916,0.34,0.048,0.247,0.236,0.116,R&B
Montrose,6,rock,24.833,48,2000.0,0.365,0.858,0.604,0.023,0.001,0.277,0.06,摇滚
オメガトライブ,42,rock,24.786,45,1984.0,0.639,0.705,0.56,0.298,0.001,0.17,0.034,摇滚
Gui Brazil,8,latin,24.75,41,2018.0,0.692,0.792,0.29,0.019,0.072,0.094,0.101,拉丁
Free,7,rock,24.714,70,2005.0,0.677,0.54,0.725,0.222,0.101,0.168,0.065,摇滚
Juan Magán,16,latin,24.688,65,2015.0,0.686,0.799,0.708,0.157,0.0,0.15,0.101,拉丁
Night Tempo,15,r&b,24.6,38,2017.0,0.682,0.884,0.566,0.088,0.06,0.237,0.342,R&B
DubVision,17,edm,24.588,64,2016.0,0.626,0.834,0.387,0.029,0.039,0.256,0.063,电子舞曲
Kiyotaka Sugiyama,12,rock,24.5,40,1985.0,0.672,0.517,0.662,0.288,0.0,0.203,0.038,摇滚
Chino & Nacho,10,latin,24.3,72,2010.0,0.713,0.898,0.746,0.209,0.0,0.178,0.092,拉丁
Case,9,r&b,23.889,58,2014.0,0.654,0.594,0.596,0.194,0.0,0.118,0.109,R&B
Far East Movement,6,edm,23.833,68,2015.0,0.643,0.844,0.583,0.058,0.026,0.189,0.13,电子舞曲
Blue Öyster Cult,13,rock,23.769,75,1977.0,0.427,0.786,0.585,0.105,0.009,0.256,0.051,摇滚
The Game,42,rap,23.738,72,2011.0,0.657,0.745,0.526,0.113,0.0,0.262,0.288,说唱
Sweet,7,rock,23.714,60,2014.0,0.509,0.821,0.548,0.211,0.0,0.174,0.107,摇滚
Zhané,10,r&b,23.7,54,1994.0,0.815,0.607,0.709,0.043,0.035,0.143,0.069,R&B
Soda Stereo,22,rock,23.591,54,1997.0,0.452,0.735,0.368,0.031,0.19,0.851,0.04,摇滚
Sandro Silva,9,edm,23.556,59,2014.0,0.544,0.909,0.215,0.075,0.482,0.165,0.093,电子舞曲
Brian McKnight,9,r&b,23.556,71,2002.0,0.639,0.375,0.391,0.358,0.003,0.113,0.03,R&B
Big Tymers,6,rap,23.5,60,2002.0,0.687,0.731,0.534,0.037,0.002,0.278,0.209,说唱
Bryan Adams,7,rock,23.286,74,1997.0,0.476,0.586,0.508,0.171,0.0,0.338,0.033,摇滚
Cream,9,rock,23.222,73,1968.0,0.612,0.547,0.697,0.392,0.005,0.209,0.038,摇滚
DVBBS,21,edm,23.095,60,2014.0,0.57,0.846,0.249,0.032,0.282,0.166,0.1,电子舞曲
Bassjackers,30,edm,23.067,58,2016.0,0.659,0.882,0.289,0.006,0.468,0.208,0.086,电子舞曲
Silkk The Shocker,6,rap,23.0,40,1998.0,0.673,0.634,0.624,0.181,0.0,0.189,0.269,说唱
50 Cent,49,rap,22.735,77,2005.0,0.684,0.733,0.61,0.147,0.0,0.192,0.294,说唱
Johnny Gill,13,r&b,22.692,54,1993.0,0.674,0.871,0.719,0.026,0.008,0.144,0.052,R&B
Big Boi,5,rap,22.6,39,2012.0,0.714,0.647,0.476,0.193,0.0,0.264,0.266,说唱
De Jeugd Van Tegenwoordig,5,rap,22.6,55,2010.0,0.767,0.627,0.667,0.072,0.001,0.173,0.149,说唱
Reyer,7,edm,22.571,36,2015.0,0.656,0.731,0.516,0.053,0.002,0.096,0.066,电子舞曲
YG,14,rap,22.5,78,2014.0,0.769,0.532,0.378,0.093,0.0,0.23,0.296,说唱
H-Town,6,r&b,22.5,59,1994.5,0.667,0.61,0.656,0.158,0.0,0.108,0.144,R&B
Erasure,6,pop,22.5,69,2000.0,0.606,0.737,0.66,0.031,0.008,0.235,0.03,流行
Deitrick Haddon,15,r&b,22.467,46,2011.0,0.688,0.743,0.624,0.048,0.0,0.222,0.066,R&B
