歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
DaBaby,6,rap,83.667,93,2019.0,0.815,0.694,0.679,0.081,0.0,0.174,0.3,说唱
Roddy Ricch,7,rap,83.429,98,2019.0,0.851,0.535,0.45,0.096,0.0,0.322,0.186,说唱
Harry Styles,9,pop,81.778,91,2019.0,0.586,0.635,0.401,0.216,0.0,0.187,0.037,流行
YNW Melly,7,rap,81.571,90,2019.0,0.787,0.539,0.539,0.18,0.0,0.101,0.192,说唱
Billie Eilish,26,r&b,76.962,97,2019.0,0.645,0.316,0.273,0.618,0.114,0.136,0.164,R&B
Lewis Capaldi,9,pop,76.889,94,2019.0,0.599,0.587,0.378,0.5,0.0,0.163,0.046,流行
Alec Benjamin,6,r&b,76.833,86,2018.5,0.69,0.569,0.675,0.592,0.0,0.225,0.046,R&B
Dimelo Flow,5,latin,76.8,90,2019.0,0.761,0.708,0.695,0.235,0.0,0.192,0.125,拉丁
Rich Music LTD,6,latin,76.5,88,2019.0,0.688,0.785,0.674,0.188,0.0,0.217,0.214,拉丁
Twenty One Pilots,8,pop,76.125,83,2015.0,0.667,0.668,0.543,0.046,0.008,0.152,0.063,流行
TINI,5,latin,76.0,82,2019.0,0.688,0.675,0.65,0.196,0.0,0.105,0.146,拉丁
Doja Cat,8,r&b,74.75,88,2019.0,0.765,0.611,0.509,0.274,0.0,0.106,0.106,R&B
Tones and I,10,pop,74.6,100,2019.0,0.709,0.501,0.373,0.567,0.0,0.161,0.089,流行
Green Day,10,pop,73.2,79,2004.0,0.463,0.8,0.619,0.029,0.0,0.295,0.039,流行
iann dior,5,rap,73.2,80,2019.0,0.68,0.652,0.283,0.116,0.0,0.103,0.048,说唱
Gusttavo Lima,6,edm,73.167,84,2019.0,0.748,0.914,0.782,0.32,0.0,0.672,0.056,电子舞曲
tha Supreme,6,rap,73.0,79,2019.0,0.648,0.776,0.593,0.125,0.0,0.151,0.116,说唱
Lil Peep,7,rap,72.857,83,2019.0,0.676,0.615,0.346,0.037,0.0,0.21,0.052,说唱
Piso 21,9,latin,72.778,86,2018.0,0.733,0.744,0.694,0.202,0.0,0.098,0.11,拉丁
Cardi B,8,r&b,72.625,84,2018.0,0.842,0.632,0.435,0.039,0.0,0.224,0.167,R&B
benny blanco,7,pop,72.571,84,2018.0,0.684,0.689,0.458,0.245,0.021,0.207,0.197,流行
Camila Cabello,16,pop,72.25,94,2019.0,0.646,0.566,0.446,0.23,0.0,0.149,0.055,流行
Dave,6,rap,72.0,79,2019.0,0.854,0.608,0.613,0.14,0.0,0.156,0.236,说唱
Anitta,5,latin,72.0,85,2019.0,0.758,0.701,0.605,0.285,0.0,0.159,0.101,拉丁
Khalid,28,pop,71.643,87,2018.0,0.692,0.536,0.378,0.231,0.038,0.143,0.127,流行
Offset,5,rap,71.6,81,2019.0,0.896,0.549,0.423,0.224,0.0,0.118,0.2,说唱
ROSALÍA,9,r&b,71.444,88,2018.0,0.736,0.52,0.53,0.548,0.075,0.12,0.141,R&B
AC/DC,14,rock,71.429,83,1980.0,0.503,0.828,0.49,0.045,0.088,0.206,0.089,摇滚
Bryson Tiller,5,rap,71.4,80,2015.0,0.642,0.43,0.297,0.153,0.0,0.126,0.189,说唱
XXXTENTACION,9,rap,71.222,87,2017.0,0.79,0.612,0.472,0.244,0.001,0.146,0.148,说唱
Ava Max,11,pop,71.182,87,2019.0,0.667,0.77,0.548,0.099,0.003,0.135,0.055,流行
Jesse & Joy,7,latin,71.143,78,2017.0,0.626,0.689,0.55,0.179,0.0,0.178,0.064,拉丁
One Direction,12,pop,71.0,80,2013.0,0.633,0.727,0.607,0.16,0.0,0.105,0.052,流行
Luis Miguel,5,latin,70.8,77,1988.0,0.573,0.615,0.438,0.15,0.0,0.101,0.033,拉丁
Russ,6,rap,70.667,82,2018.5,0.721,0.578,0.457,0.294,0.0,0.143,0.224,说唱
KAROL G,9,latin,70.556,98,2019.0,0.736,0.743,0.592,0.27,0.0,0.147,0.11,拉丁
John Mayer,8,latin,70.5,80,2006.0,0.619,0.507,0.548,0.549,0.014,0.231,0.041,拉丁
Feid,5,latin,70.2,76,2019.0,0.753,0.624,0.679,0.372,0.001,0.125,0.212,拉丁
5 Seconds of Summer,12,pop,70.167,84,2018.0,0.592,0.717,0.476,0.086,0.0,0.164,0.147,流行
Arizona Zervas,7,rap,70.143,99,2018.0,0.725,0.676,0.544,0.064,0.0,0.238,0.094,说唱
Jhay Cortez,7,latin,70.0,86,2019.0,0.768,0.696,0.532,0.166,0.0,0.151,0.105,拉丁
Rex Orange County,10,pop,69.9,81,2017.0,0.597,0.51,0.338,0.421,0.001,0.155,0.066,流行
Nickelback,5,rock,69.8,78,2005.0,0.507,0.835,0.469,0.001,0.078,0.224,0.039,摇滚
"Tyler, The Creator",11,r&b,69.545,84,2017.0,0.547,0.553,0.361,0.318,0.052,0.322,0.189,R&B
Robbie Williams,5,rock,69.4,73,1998.0,0.491,0.734,0.414,0.172,0.001,0.203,0.037,摇滚
Aventura,6,latin,69.167,74,2005.5,0.767,0.656,0.747,0.399,0.0,0.26,0.118,拉丁
Prince Royce,8,latin,68.75,75,2018.0,0.762,0.747,0.781,0.302,0.0,0.195,0.06,拉丁
Beyoncé,18,r&b,68.722,77,2012.5,0.576,0.59,0.475,0.203,0.012,0.23,0.181,R&B
C. Tangana,6,latin,68.667,79,2019.0,0.766,0.654,0.627,0.294,0.005,0.166,0.147,拉丁
NLE Choppa,14,rap,68.571,85,2019.0,0.764,0.686,0.625,0.176,0.0,0.303,0.353,说唱
Lunay,8,latin,68.5,89,2019.0,0.718,0.816,0.778,0.329,0.001,0.182,0.063,拉丁
Mabel,5,pop,68.0,85,2019.0,0.693,0.872,0.544,0.322,0.077,0.107,0.107,流行
Trippie Redd,11,rap,68.0,83,2019.0,0.751,0.618,0.526,0.242,0.0,0.176,0.104,说唱
James Arthur,16,pop,67.75,85,2018.0,0.53,0.608,0.41,0.334,0.0,0.117,0.097,流行
Noah Cyrus,6,pop,67.667,88,2017.5,0.642,0.515,0.356,0.458,0.0,0.101,0.057,流行
Vitão,5,r&b,67.6,76,2019.0,0.766,0.547,0.648,0.118,0.0,0.414,0.135,R&B
Travis Scott,12,rap,67.583,94,2018.0,0.68,0.617,0.218,0.056,0.003,0.155,0.085,说唱
21 Savage,9,rap,67.556,83,2017.0,0.823,0.519,0.291,0.124,0.083,0.157,0.257,说唱
Romeo Santos,11,latin,67.545,76,2017.0,0.778,0.706,0.745,0.276,0.0,0.153,0.071,拉丁
PRETTYMUCH,5,r&b,67.4,76,2018.0,0.724,0.579,0.489,0.205,0.0,0.325,0.088,R&B
Lorde,6,pop,67.333,78,2013.0,0.65,0.52,0.306,0.187,0.105,0.133,0.08,流行
Manuel Turizo,9,latin,67.222,83,2018.0,0.719,0.543,0.72,0.486,0.0,0.2,0.123,拉丁
Slipknot,6,rock,67.167,77,2011.0,0.439,0.921,0.289,0.004,0.007,0.141,0.086,摇滚
Nio Garcia,6,latin,67.167,80,2019.0,0.823,0.679,0.637,0.28,0.0,0.146,0.187,拉丁
Bruno Mars,20,pop,67.15,82,2012.0,0.724,0.729,0.655,0.139,0.0,0.158,0.062,流行
Mau y Ricky,7,latin,67.143,82,2019.0,0.673,0.732,0.73,0.214,0.0,0.294,0.172,拉丁
boy pablo,5,pop,67.0,70,2018.0,0.538,0.616,0.762,0.022,0.01,0.199,0.04,流行
Daryl Hall & John Oates,6,rock,66.833,77,1978.0,0.667,0.525,0.697,0.321,0.06,0.167,0.069,摇滚
24kGoldn,6,r&b,66.833,84,2019.0,0.743,0.596,0.502,0.128,0.0,0.129,0.157,R&B
Myke Towers,11,rap,66.818,84,2019.0,0.777,0.7,0.696,0.303,0.0,0.163,0.233,说唱
Dean Lewis,5,r&b,66.8,83,2018.0,0.518,0.541,0.315,0.508,0.0,0.103,0.039,R&B
Lil Uzi Vert,9,rap,66.778,91,2017.0,0.796,0.629,0.407,0.06,0.0,0.136,0.214,说唱
Lil Baby,8,rap,66.75,88,2018.0,0.887,0.515,0.365,0.068,0.0,0.224,0.369,说唱
Amenazzy,6,latin,66.667,73,2019.0,0.696,0.703,0.51,0.307,0.043,0.138,0.094,拉丁
The Clash,5,rock,66.6,79,1979.0,0.693,0.817,0.819,0.139,0.0,0.201,0.067,摇滚
A Boogie Wit da Hoodie,10,r&b,66.5,85,2018.0,0.713,0.658,0.573,0.215,0.0,0.126,0.181,R&B
Bedoes,6,rap,66.333,70,2019.0,0.677,0.586,0.376,0.319,0.003,0.231,0.238,说唱
Maná,9,latin,66.222,72,2006.0,0.69,0.666,0.554,0.269,0.0,0.216,0.028,拉丁
El Alfa,5,latin,66.0,81,2018.0,0.781,0.893,0.546,0.195,0.004,0.323,0.165,拉丁
Daniel Caesar,19,r&b,66.0,79,2017.0,0.512,0.383,0.324,0.654,0.001,0.147,0.063,R&B
SZA,11,r&b,65.909,77,2017.0,0.63,0.535,0.368,0.388,0.0,0.193,0.121,R&B
Madison Beer,6,pop,65.833,75,2018.0,0.662,0.63,0.505,0.165,0.0,0.141,0.17,流行
Daft Punk,12,pop,65.833,76,2002.0,0.736,0.734,0.55,0.128,0.396,0.154,0.086,流行
Red Hot Chili Peppers,15,rock,65.733,81,2002.0,0.576,0.805,0.53,0.072,0.02,0.146,0.048,摇滚
Pablo Alborán,6,latin,65.333,78,2014.0,0.643,0.642,0.432,0.218,0.0,0.191,0.051,拉丁
Frank Ocean,27,r&b,65.296,82,2016.0,0.593,0.415,0.41,0.534,0.033,0.194,0.126,R&B
Jon Z,7,rap,65.286,73,2019.0,0.797,0.711,0.439,0.258,0.0,0.134,0.163,说唱
Summer Walker,9,r&b,65.222,80,2019.0,0.661,0.475,0.29,0.402,0.0,0.165,0.149,R&B
Ed Sheeran,34,pop,65.059,91,2018.0,0.721,0.647,0.569,0.275,0.0,0.145,0.088,流行
Dua Lipa,17,pop,65.059,97,2017.0,0.705,0.668,0.484,0.072,0.0,0.11,0.102,流行
Arctic Monkeys,8,rock,65.0,82,2008.0,0.498,0.797,0.607,0.035,0.007,0.222,0.058,摇滚
Los Angeles Azules,5,latin,65.0,76,2018.0,0.761,0.609,0.833,0.322,0.0,0.096,0.044,拉丁
Young Thug,21,rap,64.905,86,2017.0,0.814,0.568,0.418,0.058,0.0,0.185,0.199,说唱
blackbear,10,pop,64.9,94,2017.0,0.727,0.613,0.539,0.156,0.0,0.233,0.088,流行
Justin Bieber,17,pop,64.882,95,2012.0,0.661,0.675,0.604,0.267,0.0,0.183,0.09,流行
Casper Magico,5,rap,64.8,74,2019.0,0.819,0.755,0.58,0.361,0.0,0.194,0.147,说唱
Lauv,20,pop,64.8,85,2018.5,0.686,0.537,0.431,0.293,0.0,0.127,0.108,流行
Becky G,15,latin,64.733,79,2018.0,0.75,0.699,0.536,0.181,0.015,0.196,0.094,拉丁
Ultimo,7,r&b,64.714,76,2019.0,0.563,0.508,0.364,0.477,0.0,0.123,0.05,R&B
Quality Control,7,rap,64.714,79,2019.0,0.888,0.679,0.484,0.093,0.0,0.233,0.207,说唱
Little Mix,9,pop,64.667,77,2016.0,0.703,0.779,0.65,0.093,0.0,0.282,0.068,流行
Niall Horan,6,pop,64.333,87,2018.0,0.683,0.553,0.626,0.123,0.021,0.123,0.039,流行
Smokepurpp,5,rap,64.2,74,2019.0,0.813,0.654,0.573,0.055,0.0,0.113,0.319,说唱
SiR,6,r&b,64.167,70,2019.0,0.719,0.501,0.475,0.161,0.0,0.208,0.191,R&B
Nicki Minaj,11,pop,64.091,75,2015.0,0.84,0.684,0.654,0.137,0.003,0.278,0.202,流行
Muse,24,rock,64.083,75,2007.5,0.506,0.778,0.401,0.088,0.043,0.178,0.053,摇滚
Flo Rida,13,pop,64.0,79,2012.0,0.711,0.826,0.611,0.038,0.001,0.215,0.081,流行
Zion & Lennox,9,latin,63.778,76,2016.0,0.781,0.764,0.6,0.106,0.0,0.146,0.123,拉丁
Lil Nas X,9,pop,63.667,90,2019.0,0.774,0.621,0.514,0.17,0.0,0.154,0.081,流行
Jovem Dex,5,rap,63.6,65,2019.0,0.784,0.626,0.4,0.031,0.0,0.112,0.119,说唱
Oasis,10,rock,63.6,79,1995.0,0.324,0.833,0.308,0.083,0.01,0.179,0.042,摇滚
Maluma,15,latin,63.6,86,2018.0,0.78,0.742,0.733,0.232,0.0,0.243,0.16,拉丁
Sidoka,8,rap,63.5,73,2019.0,0.809,0.664,0.486,0.293,0.0,0.124,0.18,说唱
Jason Derulo,17,pop,63.412,76,2015.0,0.674,0.74,0.66,0.108,0.0,0.212,0.135,流行
James Blunt,5,rock,63.4,76,2007.0,0.605,0.559,0.373,0.491,0.0,0.12,0.03,摇滚
The Strokes,11,rock,63.364,73,2003.0,0.545,0.714,0.69,0.138,0.365,0.182,0.037,摇滚
MAX,7,pop,63.286,78,2019.0,0.703,0.676,0.663,0.096,0.0,0.218,0.076,流行
Bring Me The Horizon,5,rock,63.2,73,2019.0,0.374,0.872,0.427,0.0,0.001,0.302,0.114,摇滚
Vampire Weekend,5,pop,63.2,70,2013.0,0.597,0.631,0.689,0.344,0.012,0.17,0.058,流行
Jonas Brothers,9,pop,63.111,87,2019.0,0.67,0.754,0.739,0.023,0.0,0.192,0.066,流行
Bacilos,6,latin,63.0,69,2006.0,0.723,0.786,0.861,0.163,0.0,0.152,0.071,拉丁
Gorillaz,6,rock,63.0,80,2005.0,0.692,0.786,0.692,0.024,0.246,0.284,0.125,摇滚
Stormzy,11,rap,62.909,88,2019.0,0.674,0.704,0.491,0.255,0.0,0.197,0.261,说唱
Mac Miller,15,r&b,62.733,87,2016.0,0.727,0.516,0.419,0.394,0.033,0.174,0.169,R&B
Teyana Taylor,7,r&b,62.714,71,2018.0,0.6,0.562,0.563,0.414,0.0,0.13,0.164,R&B
Zoé,6,rock,62.667,70,2007.0,0.551,0.739,0.551,0.184,0.208,0.226,0.032,摇滚
Jack Ü,6,pop,62.667,76,2015.0,0.536,0.868,0.293,0.061,0.0,0.163,0.177,流行
Alok,12,edm,62.583,79,2019.0,0.676,0.793,0.473,0.143,0.043,0.208,0.074,电子舞曲
T-Pain,6,rap,62.333,76,2010.5,0.702,0.52,0.392,0.049,0.0,0.13,0.111,说唱
Dalex,10,latin,62.3,91,2019.0,0.664,0.618,0.563,0.549,0.0,0.333,0.192,拉丁
Burna Boy,7,r&b,62.286,74,2019.0,0.742,0.711,0.72,0.311,0.019,0.117,0.171,R&B
The Killers,8,rock,62.25,77,2004.0,0.456,0.944,0.424,0.012,0.013,0.148,0.091,摇滚
Silvestre Dangond,5,latin,62.2,68,2018.0,0.751,0.86,0.667,0.092,0.0,0.129,0.094,拉丁
Grouplove,5,pop,62.0,78,2017.0,0.526,0.841,0.417,0.003,0.009,0.163,0.057,流行
Blur,5,rock,62.0,74,2000.0,0.697,0.749,0.827,0.026,0.134,0.083,0.05,摇滚
Ricardo Arjona,5,latin,62.0,74,2012.0,0.637,0.629,0.416,0.444,0.0,0.208,0.034,拉丁
Coldplay,34,rock,61.971,83,2014.0,0.485,0.596,0.27,0.2,0.167,0.218,0.034,摇滚
Sum 41,8,rock,61.875,74,2002.0,0.462,0.91,0.593,0.0,0.013,0.178,0.096,摇滚
Mobb Deep,6,rap,61.833,73,1995.5,0.783,0.721,0.479,0.16,0.002,0.247,0.298,说唱
Mahalia,5,r&b,61.8,67,2019.0,0.643,0.571,0.575,0.42,0.0,0.205,0.179,R&B
Fall Out Boy,12,pop,61.583,79,2014.0,0.504,0.911,0.487,0.022,0.0,0.321,0.085,流行
Panic! At The Disco,12,pop,61.583,86,2015.5,0.514,0.868,0.538,0.093,0.0,0.261,0.084,流行
Paramore,6,latin,61.5,74,2008.0,0.637,0.717,0.746,0.103,0.0,0.117,0.045,拉丁
Comethazine,6,rap,61.5,75,2019.0,0.786,0.657,0.639,0.157,0.0,0.22,0.305,说唱
Tymek,6,rap,61.5,70,2019.0,0.724,0.654,0.537,0.3,0.0,0.183,0.198,说唱
The Beatles,15,rock,61.467,79,1970.0,0.451,0.574,0.513,0.244,0.086,0.24,0.052,摇滚
Miguel,7,r&b,61.429,77,2017.0,0.625,0.561,0.49,0.191,0.004,0.142,0.103,R&B
Destiny's Child,6,r&b,61.333,76,2000.0,0.635,0.637,0.658,0.232,0.0,0.208,0.195,R&B
Alicia Keys,11,r&b,61.182,79,2012.0,0.579,0.586,0.351,0.311,0.001,0.163,0.085,R&B
Dennis DJ,7,edm,61.143,67,2019.0,0.787,0.742,0.749,0.265,0.0,0.083,0.215,电子舞曲
Ricky Martin,7,latin,61.0,73,2011.0,0.612,0.786,0.6,0.275,0.0,0.321,0.087,拉丁
GAMPER & DADONI,5,latin,61.0,72,2019.0,0.71,0.657,0.385,0.074,0.118,0.18,0.057,拉丁
Bazzi,6,pop,61.0,81,2018.5,0.722,0.674,0.512,0.263,0.0,0.194,0.06,流行
BROCKHAMPTON,16,r&b,61.0,88,2017.0,0.671,0.571,0.529,0.291,0.002,0.181,0.139,R&B
Shakira,18,latin,60.944,80,2009.0,0.725,0.7,0.712,0.251,0.0,0.193,0.079,拉丁
Bizarrap,10,rap,60.9,77,2019.0,0.809,0.665,0.586,0.192,0.002,0.167,0.173,说唱
Cat Dealers,6,edm,60.833,67,2018.5,0.727,0.755,0.378,0.006,0.016,0.171,0.078,电子舞曲
Sebastian Yatra,12,latin,60.833,80,2018.0,0.737,0.644,0.712,0.206,0.0,0.154,0.073,拉丁
Lalo Ebratt,6,latin,60.833,77,2019.0,0.693,0.74,0.848,0.268,0.0,0.182,0.109,拉丁
Au/Ra,5,edm,60.8,75,2018.0,0.599,0.701,0.353,0.165,0.094,0.114,0.054,电子舞曲
fun.,5,pop,60.8,75,2012.0,0.504,0.623,0.582,0.225,0.0,0.104,0.061,流行
Luis Fonsi,20,latin,60.75,79,2017.5,0.702,0.746,0.747,0.219,0.0,0.159,0.111,拉丁
Rels B,7,rap,60.714,69,2018.0,0.839,0.547,0.605,0.399,0.001,0.14,0.173,说唱
Rage Against The Machine,6,rock,60.667,78,1997.5,0.447,0.897,0.559,0.014,0.028,0.138,0.238,摇滚
H.E.R.,11,r&b,60.636,81,2018.0,0.574,0.397,0.272,0.419,0.001,0.171,0.193,R&B
Bebe Rexha,8,pop,60.625,81,2018.0,0.601,0.718,0.452,0.204,0.0,0.124,0.061,流行
The Cratez,5,rap,60.6,81,2019.0,0.69,0.721,0.401,0.246,0.005,0.181,0.182,说唱
Mamamoo,7,pop,60.571,81,2018.0,0.758,0.728,0.718,0.298,0.0,0.147,0.114,流行
AJ Mitchell,6,pop,60.333,78,2019.0,0.68,0.647,0.428,0.199,0.0,0.129,0.061,流行
Rauw Alejandro,12,rap,60.333,92,2019.0,0.773,0.687,0.599,0.312,0.0,0.254,0.075,说唱
Whethan,7,pop,60.286,69,2018.0,0.692,0.606,0.388,0.221,0.118,0.124,0.179,流行
Clean Bandit,17,pop,60.235,80,2018.0,0.727,0.722,0.557,0.171,0.0,0.222,0.06,流行
Fifth Harmony,5,pop,60.2,78,2016.0,0.755,0.725,0.643,0.065,0.0,0.137,0.07,流行
Snakehips,5,pop,60.2,74,2017.0,0.657,0.767,0.408,0.103,0.004,0.356,0.096,流行
Labrinth,6,r&b,60.0,79,2017.0,0.482,0.542,0.339,0.406,0.044,0.195,0.135,R&B
Mata,5,rap,60.0,71,2019.0,0.712,0.619,0.297,0.258,0.0,0.15,0.357,说唱
schafter,5,rap,60.0,63,2019.0,0.771,0.663,0.572,0.36,0.001,0.133,0.196,说唱
Pixies,5,rock,60.0,74,1989.0,0.519,0.6,0.47,0.007,0.081,0.183,0.036,摇滚
Pet Shop Boys,7,pop,60.0,70,1987.0,0.584,0.897,0.539,0.09,0.035,0.205,0.041,流行
Ciara,5,r&b,60.0,74,2015.0,0.771,0.693,0.622,0.025,0.004,0.127,0.124,R&B
Linkin Park,18,rock,59.944,83,2005.0,0.552,0.889,0.554,0.033,0.001,0.2,0.07,摇滚
Kodak Black,5,rap,59.8,83,2018.0,0.833,0.59,0.498,0.056,0.0,0.098,0.208,说唱
Diddy,9,rap,59.778,71,1999.0,0.781,0.634,0.742,0.234,0.0,0.303,0.247,说唱
Kelly Clarkson,9,pop,59.667,73,2004.0,0.547,0.691,0.35,0.065,0.01,0.256,0.042,流行
Brytiago,11,rap,59.636,75,2019.0,0.797,0.676,0.596,0.4,0.0,0.228,0.173,说唱
Taylor Swift,24,pop,59.625,86,2014.0,0.658,0.67,0.571,0.116,0.0,0.116,0.104,流行
Selena Gomez,25,pop,59.56,93,2017.0,0.673,0.702,0.475,0.113,0.002,0.192,0.077,流行
Sam Smith,14,r&b,59.5,91,2017.0,0.592,0.469,0.321,0.454,0.015,0.126,0.049,R&B
Disturbed,14,rock,59.429,74,2010.0,0.516,0.955,0.532,0.0,0.034,0.19,0.099,摇滚
Liam Payne,7,pop,59.429,76,2018.0,0.705,0.707,0.544,0.126,0.0,0.142,0.103,流行
Ozuna,39,latin,59.282,85,2018.0,0.753,0.706,0.657,0.186,0.0,0.127,0.105,拉丁
Frenna,7,latin,59.143,69,2019.0,0.812,0.676,0.669,0.05,0.031,0.137,0.116,拉丁
French Montana,11,rap,58.909,82,2018.0,0.761,0.759,0.566,0.068,0.005,0.151,0.156,说唱
Joy Division,7,rock,58.857,71,2008.0,0.482,0.77,0.642,0.045,0.562,0.125,0.056,摇滚
Saint Motel,5,pop,58.8,65,2014.0,0.566,0.74,0.517,0.186,0.019,0.138,0.042,流行
NGHTMRE,5,edm,58.8,67,2019.0,0.637,0.876,0.338,0.011,0.209,0.32,0.116,电子舞曲
Eagles,9,rock,58.778,82,1976.0,0.556,0.556,0.647,0.295,0.009,0.167,0.039,摇滚
Paulo Londra,18,rap,58.667,79,2019.0,0.816,0.585,0.547,0.27,0.0,0.157,0.171,说唱
The 1975,10,pop,58.6,74,2017.0,0.617,0.813,0.48,0.082,0.004,0.185,0.062,流行
Hinder,5,rock,58.6,71,2005.0,0.455,0.829,0.347,0.051,0.0,0.221,0.042,摇滚
dodie,5,pop,58.6,65,2017.0,0.635,0.533,0.591,0.552,0.003,0.265,0.113,流行
Adele,15,pop,58.533,79,2011.0,0.634,0.568,0.479,0.29,0.0,0.112,0.052,流行
KAYTRANADA,14,r&b,58.429,70,2016.0,0.771,0.649,0.473,0.022,0.134,0.203,0.209,R&B
Loote,5,pop,58.4,67,2019.0,0.664,0.596,0.554,0.291,0.0,0.157,0.07,流行
Malik Montana,6,rap,58.333,62,2019.0,0.783,0.562,0.606,0.249,0.002,0.254,0.245,说唱
De La Ghetto,6,latin,58.333,66,2017.0,0.807,0.73,0.514,0.114,0.0,0.196,0.169,拉丁
Loud Luxury,10,pop,58.3,79,2018.5,0.767,0.786,0.568,0.041,0.0,0.255,0.046,流行
alt-J,7,pop,58.286,73,2012.0,0.536,0.65,0.244,0.319,0.076,0.189,0.037,流行
Katy Perry,37,pop,58.216,85,2013.0,0.637,0.773,0.529,0.077,0.0,0.203,0.071,流行
Skillet,6,rock,58.167,75,2012.5,0.546,0.93,0.496,0.009,0.0,0.26,0.09,摇滚
Poison,8,rock,58.0,71,1989.0,0.537,0.855,0.526,0.057,0.0,0.302,0.057,摇滚
Leon Bridges,5,r&b,58.0,67,2018.0,0.666,0.528,0.619,0.38,0.002,0.108,0.043,R&B
ILLENIUM,15,edm,58.0,75,2018.0,0.521,0.736,0.303,0.155,0.001,0.224,0.08,电子舞曲
FISHER,5,edm,58.0,79,2018.0,0.813,0.88,0.755,0.007,0.589,0.191,0.076,电子舞曲
Bad Bunny,32,rap,57.969,93,2018.0,0.755,0.606,0.378,0.353,0.0,0.163,0.138,说唱
The Doobie Brothers,7,rock,57.857,75,1976.0,0.62,0.648,0.847,0.239,0.001,0.073,0.039,摇滚
Bakermat,7,latin,57.857,76,2017.0,0.678,0.691,0.534,0.148,0.314,0.256,0.066,拉丁
Hannah Montana,5,pop,57.8,65,2007.0,0.586,0.917,0.687,0.029,0.0,0.271,0.066,流行
Godsmack,9,rock,57.778,67,2010.0,0.386,0.885,0.493,0.0,0.004,0.152,0.1,摇滚
$uicideBoy$,26,rap,57.731,77,2016.0,0.771,0.679,0.254,0.178,0.091,0.195,0.145,说唱
BLACKPINK,7,pop,57.714,79,2018.0,0.709,0.877,0.576,0.161,0.001,0.24,0.154,流行
Macklemore & Ryan Lewis,7,pop,57.714,83,2012.0,0.7,0.635,0.583,0.119,0.001,0.11,0.191,流行
Jacquees,5,r&b,57.6,69,2019.0,0.653,0.591,0.461,0.037,0.0,0.096,0.127,R&B
Baby Rasta & Gringo,5,latin,57.6,64,2015.0,0.8,0.731,0.753,0.09,0.035,0.168,0.077,拉丁
Juice WRLD,14,rap,57.571,92,2018.0,0.619,0.595,0.334,0.216,0.0,0.213,0.183,说唱
Post Malone,27,pop,57.519,98,2018.0,0.668,0.628,0.446,0.278,0.0,0.129,0.078,流行
Żabson,6,rap,57.5,63,2019.0,0.725,0.736,0.484,0.264,0.0,0.193,0.158,说唱
Marshmello,26,pop,57.462,89,2018.0,0.617,0.831,0.423,0.068,0.096,0.243,0.082,流行
Mark Ronson,11,pop,57.455,82,2019.0,0.746,0.753,0.582,0.1,0.003,0.162,0.117,流行
Three Days Grace,14,rock,57.357,72,2008.0,0.453,0.883,0.425,0.003,0.0,0.142,0.054,摇滚
Alejandro Sanz,6,latin,57.333,74,2004.0,0.549,0.671,0.537,0.391,0.0,0.093,0.055,拉丁
Blondie,6,rock,57.333,70,1989.5,0.568,0.753,0.702,0.02,0.003,0.102,0.045,摇滚
Bryant Myers,6,rap,57.333,79,2019.0,0.791,0.622,0.453,0.323,0.0,0.117,0.194,说唱
Kygo,42,pop,57.286,87,2017.0,0.636,0.66,0.431,0.209,0.017,0.167,0.079,流行
X Ambassadors,7,pop,57.286,77,2018.0,0.479,0.661,0.405,0.073,0.005,0.26,0.068,流行
Led Zeppelin,23,rock,57.261,78,1971.0,0.454,0.714,0.602,0.231,0.073,0.206,0.072,摇滚
Marc Anthony,11,latin,57.182,75,2018.0,0.638,0.801,0.78,0.353,0.0,0.211,0.065,拉丁
Dfideliz,6,rap,57.167,61,2019.0,0.87,0.55,0.536,0.245,0.011,0.109,0.153,说唱
Chayanne,6,latin,57.167,67,1997.0,0.55,0.671,0.5,0.304,0.0,0.179,0.038,拉丁
Miky Woodz,5,latin,57.0,66,2019.0,0.825,0.676,0.597,0.186,0.0,0.237,0.139,拉丁
DrefQuila,5,rap,57.0,64,2018.0,0.717,0.445,0.339,0.372,0.022,0.13,0.096,说唱
The Carters,5,rap,57.0,67,2018.0,0.675,0.73,0.506,0.081,0.0,0.243,0.296,说唱
David Bisbal,7,latin,57.0,71,2019.0,0.604,0.68,0.525,0.341,0.0,0.149,0.066,拉丁
Foo Fighters,19,rock,56.842,77,2009.0,0.404,0.793,0.386,0.085,0.018,0.229,0.049,摇滚
Fitz and The Tantrums,5,pop,56.8,67,2016.0,0.6,0.851,0.621,0.076,0.003,0.136,0.051,流行
Kim Petras,5,pop,56.8,62,2019.0,0.652,0.653,0.553,0.113,0.0,0.2,0.057,流行
Brent Faiyaz,6,r&b,56.667,68,2016.0,0.566,0.424,0.276,0.495,0.0,0.111,0.087,R&B
Meghan Trainor,12,pop,56.667,78,2017.0,0.688,0.7,0.605,0.139,0.002,0.277,0.119,流行
Chicago,6,rock,56.667,74,1975.5,0.56,0.656,0.492,0.165,0.006,0.11,0.035,摇滚
Swedish House Mafia,8,edm,56.625,77,2012.0,0.652,0.795,0.533,0.083,0.157,0.199,0.054,电子舞曲
Young the Giant,5,pop,56.6,70,2016.0,0.598,0.819,0.652,0.016,0.0,0.464,0.051,流行
